Date,ABEV3,B3SA3,BBDC4,BOVA11,BRML3,CIEL3,CMIG4,COGN3,CSNA3,EQTL3,GGBR4,IRBR3,ITSA4,ITUB4,MGLU3,PETR4,PRIO3,USIM5,VALE3,VVAR3
2016-11-01,16.091312,5.196655,16.640387,61.349998,9.899593,21.460632,5.840151,14.341785,8.384732,10.078482,9.744898,,6.29577,20.234211,0.343374,15.13179,0.312,4.116788,17.90085,3.482764
2016-11-03,15.71383,5.045737,16.244034,59.959999,9.652104,21.315271,5.782957,13.907186,7.958945,9.917444,9.375772,,6.172992,19.799654,0.343002,14.476618,0.31,3.856477,17.627922,3.542468
2016-11-04,15.555812,5.00872,16.244034,59.5,9.580252,21.110441,5.744827,13.69451,7.909817,10.036864,9.597248,,6.29577,19.962606,0.346022,14.350967,0.3196,3.740782,17.34697,3.661877
2016-11-07,15.792836,5.284926,16.808241,62.200001,9.947495,21.394564,6.030797,14.33254,8.442049,10.161716,10.252444,,6.445831,20.679642,0.350458,15.445916,0.3148,4.078224,18.567116,3.920597
2016-11-08,15.854289,5.239367,16.797981,62.200001,9.739923,21.6126,5.960894,14.637682,8.638566,10.196095,10.446234,,6.479936,20.728529,0.353851,15.293343,0.308,4.107148,19.241407,4.119612
2016-11-09,15.740166,5.116925,16.336355,61.209999,9.660088,20.932045,5.751181,13.971914,8.876025,10.134574,11.110662,,6.343517,20.065811,0.365334,14.943318,0.2992,4.12643,20.068218,4.09971
2016-11-10,15.845509,4.943228,14.879674,59.23,8.877702,20.112736,5.242792,12.760583,9.211742,9.723834,11.535155,,6.01611,19.066336,0.353552,13.911197,0.29,4.097507,21.569323,4.069858
2016-11-11,15.318789,4.84072,14.905323,57.43,8.510457,19.709692,5.033079,12.825312,8.532121,9.490419,11.156801,,5.852405,18.821882,0.35318,12.573928,0.29,3.779347,20.854889,3.403157
2016-11-14,15.187108,4.769532,15.013038,58.07,8.42264,19.696472,5.20466,13.40786,8.974283,9.535654,12.319544,,5.845584,18.707819,0.343374,12.564952,0.282,4.068583,21.240198,3.751434
2016-11-16,15.652378,4.77238,15.238713,58.950001,8.558359,19.921124,5.198307,13.648274,8.597626,9.410805,11.627433,,6.036572,19.631256,0.341547,13.229096,0.3294,3.817912,20.188627,3.751434
2016-11-17,15.46803,4.686956,14.761704,57.650002,8.502474,19.597363,5.090272,13.225771,8.654943,9.381854,11.821226,,5.893331,19.044598,0.342107,12.825227,0.3186,3.79863,19.859509,3.57232
2016-11-18,15.204665,4.715431,15.018164,58.029999,8.462556,19.240568,5.115692,12.872589,8.892401,9.521178,12.273403,,5.988825,19.223867,0.347849,13.031651,0.3124,3.846835,19.723045,3.651926
2016-11-21,15.318789,4.684108,15.105361,59.099998,8.558359,19.029133,5.166531,13.383776,9.383695,9.660506,12.494877,,6.050215,19.381392,0.357728,13.982997,0.3378,3.943248,20.734484,3.482764
2016-11-22,15.072988,4.719047,15.207943,60.049999,8.510457,19.82201,5.185596,14.127318,9.817669,9.535654,13.021662,,6.050215,19.446569,0.359854,14.297119,0.3378,4.058942,22.291779,3.552418
2016-11-23,15.485582,4.664672,15.274617,60.130001,8.49449,20.059875,5.242792,13.681193,10.472727,9.42709,13.280428,,5.941078,19.267323,0.366825,14.225321,0.326,4.36746,22.612867,3.731532
2016-11-24,15.231003,4.676119,15.131012,59.380001,8.51844,19.815403,5.185596,13.439542,10.292585,9.354712,12.938483,,5.893331,19.066336,0.363134,13.982997,0.3222,4.251765,22.147285,3.761384
2016-11-25,15.125658,4.699015,15.202812,59.599998,8.598276,19.755939,5.090272,13.077064,10.554609,9.456039,13.123321,,5.866046,18.935965,0.363134,13.731694,0.33,4.280689,23.198858,3.393207
2016-11-28,15.406573,4.767697,15.392591,60.849998,8.670128,19.888086,5.23008,13.755548,10.923079,9.416233,13.511475,,5.920615,19.337934,0.366154,13.875296,0.321,4.415665,24.89262,3.502665
2016-11-29,14.976419,4.719047,14.905323,59.189999,8.414656,19.643616,5.096628,12.965533,10.423597,9.276908,12.809098,,5.804659,18.870775,0.377116,13.157299,0.3164,4.145712,23.423626,3.502665
2016-11-30,15.055426,4.753388,15.25924,60.0,8.622227,19.637003,5.020368,13.430246,10.177952,9.497656,12.522605,,5.872869,19.240162,0.387741,14.359944,0.3322,4.001095,22.524567,3.612123
2016-12-01,14.598937,4.498691,14.407793,57.799999,8.262968,19.095203,4.702623,13.012005,9.547459,9.139391,11.968098,,5.582472,18.367958,0.374692,13.857347,0.3318,3.875759,22.853685,3.333502
2016-12-02,14.669166,4.57882,14.637335,58.380001,8.438605,18.89699,4.817012,13.012005,9.752164,9.356523,11.921888,,5.602969,18.444031,0.369099,14.20737,0.336,3.827553,23.811554,3.333502
2016-12-05,14.449699,4.475797,14.560351,57.799999,8.430621,18.804482,4.747108,12.835414,9.694846,9.237101,12.060515,,5.575638,18.378817,0.364626,14.054795,0.3354,3.895041,23.900373,3.502665
2016-12-06,14.704281,4.590267,14.873424,59.110001,8.438605,18.725189,4.689914,13.225771,9.817669,9.499467,12.106724,,5.69863,18.62336,0.380098,14.494569,0.3402,3.866118,24.223354,3.482764
2016-12-07,14.607714,4.647502,14.781046,59.509998,8.58231,19.31986,4.759819,13.058475,9.850422,9.519371,12.679712,,5.712298,18.476639,0.381589,14.234296,0.347,4.010735,25.055019,3.482764
2016-12-08,14.449699,4.616023,14.627077,59.799999,8.58231,18.811092,4.64543,12.695998,9.539268,9.535654,12.550329,,5.705463,18.367958,0.392923,14.090696,0.351,3.972171,24.328314,3.373305
2016-12-09,14.607714,4.504413,14.822099,58.57,8.622227,18.480722,4.64543,12.119754,9.252684,9.410805,11.894164,,5.739627,18.422291,0.395943,13.982997,0.36,3.856477,23.908445,3.43301
2016-12-12,14.142447,4.427147,14.206223,57.25,8.662144,17.806772,4.58188,11.524918,9.039788,9.309478,11.201031,,5.514142,17.661488,0.385914,14.000948,0.3632,3.779347,23.811554,3.204142
2016-12-13,14.300464,4.498691,14.262676,57.790001,8.981485,17.621765,4.708979,12.17552,8.974283,9.499467,10.803636,,5.541474,17.743004,0.392588,13.866322,0.3686,3.817912,22.874918,3.393207
2016-12-14,14.18634,4.349879,14.093314,56.32,8.76593,17.198896,4.550107,11.339033,8.687695,9.327573,10.073533,,5.507308,17.704975,0.38405,13.229096,0.371,3.711859,22.511568,3.582271
2016-12-15,14.326799,4.292644,14.139503,56.599998,8.51844,16.18137,4.59459,11.339033,8.949718,9.354712,10.581832,,5.507308,17.634321,0.395757,13.327824,0.3712,3.904683,22.794172,3.472813
2016-12-16,14.642832,4.401391,14.062516,56.419998,8.821815,17.502834,4.556461,11.264679,8.777768,9.598985,10.092017,,5.479978,17.319132,0.398926,13.247048,0.3818,3.827553,22.406599,3.482764
2016-12-19,14.309239,4.438595,13.754584,55.200001,8.638194,17.113005,4.702623,11.357621,8.261909,9.577271,9.74083,,5.384318,16.85177,0.390724,12.888051,0.3752,3.740782,21.033943,3.532517
2016-12-20,14.397029,4.478659,14.052257,55.709999,8.805849,17.965353,4.721689,11.413388,8.089956,9.425281,9.814764,,5.438981,17.281088,0.386809,12.879075,0.384,3.788989,21.461887,3.472813
2016-12-21,14.344356,4.458625,13.93421,55.700001,8.821815,18.566616,4.626366,11.478447,8.049016,9.541083,9.962634,,5.438981,17.27565,0.396764,12.870099,0.3772,3.895041,21.381144,3.482764
2016-12-22,14.077399,4.437134,13.859971,55.98,9.021404,18.632687,4.708979,11.989631,7.860686,9.608031,9.537511,,5.479978,17.416945,0.394265,12.573928,0.4412,3.817912,20.492954,3.552418
2016-12-23,14.237574,4.564737,14.150128,56.360001,9.220992,18.467505,4.778883,12.110456,8.147273,9.51756,9.519029,,5.59037,17.908592,0.394452,12.780349,0.456,3.808271,20.339542,3.512615
2016-12-26,14.397748,4.605339,14.40919,56.959999,9.316795,18.500544,4.702623,12.296344,8.319225,9.589938,9.814764,,5.661134,18.051996,0.395197,12.9419,0.454,3.856477,20.985495,3.492714
2016-12-27,14.335458,4.669141,14.269296,56.810001,9.4605,18.104101,4.889456,12.22199,8.785954,9.677253,10.147469,,5.639905,18.040968,0.391096,12.932924,0.443,3.952888,20.880529,3.492714
2016-12-28,14.442239,4.785144,14.782247,57.84,9.380665,18.209824,4.975585,12.333522,8.859649,9.879163,9.953392,,5.717746,18.465656,0.395682,13.264998,0.437,3.923965,21.542631,3.582271
2016-12-29,14.593514,4.785144,15.025766,58.240002,9.540334,18.427866,5.10809,12.389287,8.884213,9.895535,9.981117,,5.859274,18.669731,0.395831,13.345773,0.4356,3.952888,20.735189,3.582271
2017-01-02,14.513429,4.721342,14.922145,57.630001,9.644119,18.004997,5.114716,12.361406,8.892401,9.959202,10.018082,,5.809741,18.501425,0.379203,13.157299,0.466,3.933606,20.234573,3.781286
2017-01-03,14.807076,4.915648,15.553201,59.75,10.171036,18.507154,5.227345,12.974829,9.350941,9.939192,10.304577,,6.064491,19.284971,0.378047,13.911197,0.5278,4.136072,21.130835,3.70168
2017-01-04,14.691399,5.008451,15.454709,59.75,10.155068,18.314558,5.081588,12.900474,9.260871,9.977393,10.184437,,6.099872,19.367731,0.357915,13.911197,0.5252,4.386743,20.751339,3.771335
2017-01-05,14.771483,4.947548,15.625788,60.049999,10.38659,18.115557,5.002085,12.733177,9.580212,9.959202,10.905294,,6.156483,19.632586,0.370218,14.13557,0.54,4.434948,21.542631,3.781286
2017-01-06,14.646902,4.944649,15.724298,59.849998,10.282804,18.155355,4.935833,12.640232,9.236305,9.913726,10.840599,,6.135255,19.698797,0.367832,14.054795,0.509,4.309612,20.969347,3.741483
2017-01-09,14.709196,4.944649,15.745025,59.740002,10.298771,18.24159,5.008711,12.556585,9.375506,9.85006,10.849841,,6.198942,19.792616,0.351092,13.758621,0.532,4.338536,21.397295,3.731532
2017-01-10,14.540123,5.037451,15.745025,60.25,10.27482,17.631323,4.935833,12.445054,9.580212,9.731821,11.071644,,6.156483,19.726402,0.359443,13.893247,0.502,4.357819,23.044481,3.592221
2017-01-11,14.60241,5.060652,15.864277,60.470001,10.226919,17.365993,5.10809,12.249875,9.703034,9.680889,11.644633,,6.198942,19.765018,0.363507,14.054795,0.5056,4.271047,23.520874,3.482764
2017-01-12,15.065135,5.194058,16.237547,62.0,11.097125,17.094028,5.724242,12.761059,10.13701,9.944649,11.829471,,6.368776,20.267147,0.387741,14.270196,0.504,4.3771,24.279875,3.43301
2017-01-13,15.225306,5.185356,16.107943,61.68,11.01729,17.23333,5.664612,13.039887,10.005999,10.041058,12.069756,,6.305089,19.853298,0.395197,14.072744,0.5382,4.386743,25.014647,3.263847
2017-01-16,15.171915,5.153456,16.139051,61.900002,10.953422,17.186897,5.684489,13.104946,10.112446,9.880983,12.199142,,6.305089,19.869852,0.387405,14.13557,0.5468,4.60849,25.6929,3.313601
2017-01-17,15.305393,5.185356,16.600464,62.279999,10.913504,16.888393,5.856748,13.634722,9.989623,10.013771,12.005062,,6.432464,20.405098,0.395197,14.198394,0.546,4.550642,24.683594,3.313601
2017-01-18,15.358783,5.147655,16.434553,61.900002,10.658031,16.682764,5.763992,13.281539,9.760351,9.955563,11.653876,,6.397081,20.245077,0.397248,14.17147,0.5388,4.463872,25.927059,3.214093
2017-01-19,15.394376,5.176656,16.419008,62.099998,10.673997,16.722565,5.717616,13.058475,9.596588,10.093809,11.182546,,6.390006,20.13472,0.400417,14.153521,0.542,4.415665,25.410297,3.194192
2017-01-20,15.43887,5.283958,16.341238,62.57,10.689964,16.27813,5.71099,13.179301,9.793105,10.250246,11.293448,,6.460771,20.195415,0.447021,14.359944,0.5574,4.647054,25.918985,3.144438
