Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,EOS-USD,ETC-USD,ETH-USD,GAS-USD,LINK-USD,LTC-USD,REP-USD,TRX-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2017-12-08,0.115465,1464.130005,2.83067,16569.400391,0.002779,4.29084,30.0527,456.031006,19.059401,0.245226,124.846001,29.9748,0.004394,,0.13726,276.743988,0.252125
2017-12-09,0.119609,1410.060059,2.61043,15178.200195,0.002617,4.06158,29.092699,473.502014,18.4573,0.238859,155.242004,29.0891,0.004473,,0.135122,262.53299,0.244708
2017-12-10,0.110281,1323.069946,2.48337,15455.400391,0.002547,3.77154,26.5075,441.721008,16.9543,0.252898,148.660004,28.071501,0.004408,,0.119263,245.332993,0.237333
2017-12-11,0.121383,1423.380005,2.70665,16936.800781,0.002798,4.36415,27.642099,515.135986,17.8853,0.260592,214.203003,30.813499,0.005282,,0.144956,279.669006,0.251691
2017-12-12,0.133891,1615.030029,2.68475,17415.400391,0.003304,5.30198,30.318501,651.43103,19.0422,0.231424,316.158997,34.228699,0.007613,,0.156444,308.066986,0.373541
2017-12-13,0.134281,1607.650024,2.7781,16408.199219,0.003461,7.29932,29.7204,702.767029,21.8881,0.261878,302.60199,34.969398,0.01646,,0.149342,305.744995,0.471063
2017-12-14,0.240753,1966.140015,3.15874,16564.0,0.003709,8.40436,31.961901,695.815979,25.1597,0.308503,279.328003,36.844799,0.01769,,0.188907,325.205994,0.864263
2017-12-15,0.213467,1815.430054,3.99615,17706.900391,0.003762,8.12634,32.085098,684.447998,23.1339,0.320793,299.778992,36.3955,0.018434,,0.195862,312.321991,0.756181
2017-12-16,0.404665,1801.880005,4.66465,19497.400391,0.005933,8.60696,34.7784,696.208984,23.864201,0.341393,298.971985,41.683498,0.036271,,0.232125,327.321014,0.758642
2017-12-17,0.513011,1862.880005,5.75672,19140.800781,0.005984,8.22217,34.786598,719.974976,34.711201,0.417596,318.718994,42.926201,0.03619,,0.266621,351.372986,0.728366
2017-12-18,0.518198,2196.639893,5.61585,19114.199219,0.006433,9.2107,39.397598,794.64502,39.8414,0.434907,358.335999,56.429901,0.044589,,0.276283,381.511993,0.778407
2017-12-19,0.531273,2805.889893,5.79233,17776.699219,0.005666,12.3801,40.270199,826.822998,35.549702,0.439356,350.252991,108.472,0.046848,,0.26431,377.235992,0.791257
2017-12-20,0.486151,3923.070068,5.17621,16624.599609,0.006661,11.9889,44.047501,819.085999,33.576801,0.372796,314.621002,88.711998,0.048883,,0.252386,469.197998,0.775964
2017-12-21,0.477851,3267.169922,5.18001,15802.900391,0.007425,10.6002,42.1007,821.062988,32.359699,0.424287,317.462006,83.989304,0.045969,,0.2572,417.980011,1.19306
2017-12-22,0.40715,2696.689941,4.33615,13831.799805,0.006054,7.8412,30.958799,674.859985,26.715099,0.426878,264.932007,61.493301,0.039074,,0.216717,346.113007,1.13828
2017-12-23,0.414027,3257.080078,4.83926,14699.200195,0.007259,8.4816,32.724998,719.387024,27.8078,0.57768,288.265991,73.499702,0.051791,,0.234179,382.039001,1.17434
